Feature,Coefficient,Abs_Coefficient
LOS,-0.4932606042579501,0.4932606042579501
ETHNICITY_CONSOLIDATED_OTHER,0.4496618910098512,0.4496618910098512
ETHNICITY_CONSOLIDATED_WHITE,-0.40819109301538914,0.40819109301538914
AGE_AT_ADMISSION,-0.3969062460840332,0.3969062460840332
ADMISSION_TYPE_URGENT,0.3341514858193994,0.3341514858193994
OXYGEN_SAT_MEAN,-0.2813922984121403,0.2813922984121403
GENDER_M,-0.27312351145168834,0.27312351145168834
BUN_MIN_VAL,0.24677433273110874,0.24677433273110874
ETHNICITY_CONSOLIDATED_BLACK OR AFRICAN AMERICAN,-0.24360627899130383,0.24360627899130383
POTASSIUM_MIN_VAL,0.22354275485744332,0.22354275485744332
ETHNICITY_CONSOLIDATED_HISPANIC OR LATINO,0.16890327194533392,0.16890327194533392
LOS_ICU_MEAN,0.1576491889366517,0.1576491889366517
CREATININE_MIN_VAL,-0.1404407470985917,0.1404407470985917
WEIGHT_MEAN,0.139056926608819,0.139056926608819
INR_MIN_VAL,0.1371899462909558,0.1371899462909558
ANIONGAP_MIN_VAL,0.1357675289249133,0.1357675289249133
TEMP_MAX_C,0.12971127677053054,0.12971127677053054
CHLORIDE_MIN_VAL,0.12057498157619777,0.12057498157619777
HEARTRATE_MEAN,0.11227998440333281,0.11227998440333281
DBP_MEAN,0.11019970224520446,0.11019970224520446
ANIONGAP_MAX_VAL,0.10475956856096037,0.10475956856096037
INR_MAX_VAL,-0.09425789076318877,0.09425789076318877
MAP_MEAN,-0.09286075023463372,0.09286075023463372
LACTATE_MIN_VAL,0.08815155950785257,0.08815155950785257
ETHNICITY_CONSOLIDATED_NATIVE HAWAIIAN OR OTHER PACIFIC ISLANDER,0.08630938106010189,0.08630938106010189
HEMOGLOBIN_MAX_VAL,0.08358623129824945,0.08358623129824945
DIABETES,-0.07836370701109274,0.07836370701109274
PLATELET_MIN_VAL,0.0729467994356929,0.0729467994356929
SODIUM_MAX_VAL,-0.06908681685030496,0.06908681685030496
ADMISSION_TYPE_EMERGENCY,0.06630678452721775,0.06630678452721775
SBP_MEAN,-0.04489451094014682,0.04489451094014682
HEMOGLOBIN_MIN_VAL,0.04044525446862052,0.04044525446862052
BUN_MAX_VAL,-0.03102598535079532,0.03102598535079532
SODIUM_MIN_VAL,0.029173839571558172,0.029173839571558172
RR_MEAN,-0.02812359238300537,0.02812359238300537
ETHNICITY_CONSOLIDATED_ASIAN,-0.019483749751282742,0.019483749751282742
ETHNICITY_CONSOLIDATED_MIDDLE EASTERN,-0.016629280211342582,0.016629280211342582
ETHNICITY_CONSOLIDATED_UNKNOWN/NOT SPECIFIED/DECLINED,-0.013159284702057485,0.013159284702057485
TEMP_MIN_C,0.004689537192589878,0.004689537192589878
